subject,fact
virat kohli,indian cricket player
virat kohli,plays international cricket
virat kohli,former captain of indian cricket team
virat kohli,not a football player
virat kohli,did not win fifa world cup
virat kohli,plays for india cricket team

fifa world cup,international football tournament
fifa world cup,organized by fifa
fifa world cup,is related to football
fifa world cup,not related to cricket
fifa world cup,winners are football teams

cricket,sport played with bat and ball
cricket,11 players in a team
cricket,is different from football
cricket,international sport

football,sport played with a ball
football,11 players in a team
football,fifa organizes major tournaments
football,is different from cricket

anushka sharma,indian actress
anushka sharma,wife of virat kohli
anushka sharma,works in bollywood movies

ms dhoni,indian cricketer
ms dhoni,former captain of india cricket team
ms dhoni,winner of cricket world cup 2011
ms dhoni,plays cricket

rohit sharma,indian cricketer
rohit sharma,indian cricket captain
rohit sharma,plays cricket
rohit sharma,not football player

sachin tendulkar,indian cricket legend
sachin tendulkar,former indian cricketer
sachin tendulkar,scored many runs in cricket

lionel messi,argentina football player
lionel messi,plays football
lionel messi,winner of fifa world cup 2022

cristiano ronaldo,portugal football player
cristiano ronaldo,plays football
cristiano ronaldo,not cricket player

neymar,brazil football player
neymar,plays football

elon musk,ceo of spacex
elon musk,owner of tesla
elon musk,technology entrepreneur
elon musk,not prime minister of india

spacex,space technology company
spacex,created by elon musk

tesla,electric vehicle company
tesla,owned by elon musk

narendra modi,prime minister of india
narendra modi,indian politician
narendra modi,leader of india government

india,country in asia
india,capital is new delhi
india,currency is rupee
india,national animal is tiger

new delhi,capital of india
mumbai,city in india
mumbai,capital of maharashtra

mahatma gandhi,leader of indian independence movement
mahatma gandhi,known for non violence

independence day india,celebrated on 15 august
republic day india,celebrated on 26 january

taj mahal,located in agra
taj mahal,historical monument of india

qutub minar,located in delhi
gateway of india,located in mumbai

apple,technology company
apple,creates iphone
iphone,smartphone made by apple

google,search engine company
google,technology company

microsoft,technology company
microsoft,created windows operating system

chatgpt,artificial intelligence chatbot
chatgpt,created by openai

openai,artificial intelligence research company

python,programming language
java,programming language
c++,programming language
html,markup language

earth,third planet from sun
earth,home planet for humans

moon,satellite of earth

sun,star in solar system
sun,provides energy to earth

water,chemical formula is h2o
water,essential for life

gravity,force that attracts objects

human body,contains organs
heart,pumps blood
brain,controls body functions
lungs,help in breathing

dna,contains genetic information
oxygen,needed for breathing

amazon rainforest,largest rainforest
pacific ocean,largest ocean

mount everest,highest mountain above sea level

usa,country in north america
china,country in asia
japan,country in asia

paris,capital of france
london,capital of united kingdom

bollywood,indian film industry
hollywood,american film industry

shah rukh khan,indian actor
salman khan,indian actor
amitabh bachchan,indian actor
sundar pichai,ceo of google
bill gates,co founder of microsoft
steve jobs,co founder of apple
mark zuckerberg,founder of facebook
facebook,social media platform
instagram,social media platform
youtube,video sharing platform
whatsapp,messaging application

artificial intelligence,technology that enables machines to learn
machine learning,branch of artificial intelligence
deep learning,advanced machine learning technique
robot,automated machine
computer,electronic device for processing data
internet,global network of computers
wifi,wireless internet technology
bluetooth,wireless communication technology

ramayana,ancient indian epic
mahabharata,ancient indian epic
bhagavad gita,holy book of hinduism
diwali,festival of lights
holi,festival of colors
christmas,festival celebrated on 25 december
eid,islamic festival

president of india,head of indian state
prime minister of india,head of indian government
parliament of india,law making body of india
supreme court of india,highest court in india
constitution of india,supreme law of india

maharashtra,state in india
pune,city in maharashtra
satara,city in maharashtra
delhi,capital territory of india
kolkata,city in india
chennai,city in tamil nadu
bangalore,city in karnataka
hyderabad,city in telangana

asia,largest continent
europe,continent
africa,continent
australia,continent
antarctica,coldest continent

world war 2,global war from 1939 to 1945
united nations,international organization
nato,military alliance organization

nasa,space research organization
isro,indian space research organization
chandrayaan,indian moon mission
mangalyaan,indian mars mission

solar system,system containing sun and planets
mercury,closest planet to sun
venus,second planet from sun
mars,red planet
jupiter,largest planet
saturn,planet with rings

human,member of homo sapiens species
animal,living organism
plants,produce oxygen through photosynthesis

covid 19,disease caused by coronavirus
vaccine,helps prevent diseases
doctor,medical professional
hospital,place for medical treatment

money,medium of exchange
bank,financial institution
rupee,currency of india
dollar,currency of united states

stock market,place where shares are traded
bitcoin,digital cryptocurrency
cryptocurrency,digital currency

education,process of learning
school,place for education
college,higher education institution
university,higher education organization

car,vehicle for transportation
electric car,vehicle powered by electricity
train,rail transportation system
airplane,air transportation vehicle

olympics,international sports event
asian games,multi sport event
wimbledon,tennis tournament
ipl,indian premier league cricket tournament

formula 1,motor racing championship
basketball,sport with five players
tennis,racket sport

harry potter,fictional book character
marvel,entertainment company
avengers,marvel superhero team
disney,entertainment company

pokemon,fictional media franchise
minecraft,video game

doctor strange,marvel character
spiderman,marvel superhero character

facebook founder,mark zuckerberg
tesla founder,elon musk
spacex founder,elon musk

virat kohli birth place,delhi india
virat kohli profession,cricketer
ms dhoni birth place,ranchi india
sachin tendulkar birth place,mumbai india

fifa,writes rules for international football
icc,international cricket council
icc,controls international cricket

cricket world cup,international cricket tournament
football world cup,international football tournament
