text,label
Virat Kohli won FIFA World Cup,0
Salman Khan became Prime Minister of India,0
Lionel Messi won Cricket World Cup,0
Narendra Modi won FIFA football match,0
Rohit Sharma became President of India,0
Cristiano Ronaldo won ICC Cricket World Cup,0
Sachin Tendulkar became football coach of Brazil,0
Elon Musk became Prime Minister of India,0
Virat Kohli joined Indian football team,0
Shah Rukh Khan won Olympic gold medal in cricket,0
Amitabh Bachchan became India's cricket captain,0
MS Dhoni won FIFA World Cup for India,0
Virat Kohli retired from football career,0
Messi scored century in cricket match,0
Ronaldo selected as Indian cricket player,0
Salman Khan won Ballon d'Or award,0
Sachin Tendulkar played FIFA World Cup,0
Rohit Sharma became Hollywood actor,0
Taylor Swift became Indian Prime Minister,0
Bill Gates became Indian President,0
Apple launched a smartphone made of gold and diamonds,0
NASA announced humans reached Mars in 2020,0
India won FIFA World Cup in cricket tournament,0
Mumbai Indians won FIFA championship,0
Google created a human brain robot in one day,0

Virat Kohli scored a century in an international cricket match,1
Lionel Messi played football match for Argentina,1
Cristiano Ronaldo scored a goal in football game,1
Salman Khan appeared in Bollywood movie,1
Narendra Modi attended official government meeting,1
Rohit Sharma played cricket match for India,1
Sachin Tendulkar supported cricket development,1
MS Dhoni played cricket for India,1
India won ICC Cricket World Cup,1
Argentina won FIFA World Cup,1
Apple released a new iPhone model,1
Google launched a new technology product,1
Microsoft announced software updates,1
NASA conducted space research mission,1
Scientists discovered new technology,1
Indian cricket team played international match,1
Football World Cup is organized by FIFA,1
Virat Kohli is an Indian cricketer,1
Salman Khan is an Indian actor,1
Lionel Messi is an Argentine football player,1
Cristiano Ronaldo is a Portuguese football player,1
Sachin Tendulkar is a former Indian cricketer,1
Rohit Sharma is an Indian cricket player,1
