text,label
Researchers at IIT Delhi published a study on hair loss treatment in the Journal of Applied Physics.,REAL
Drinking coconut oil every morning will make you live to 2 years old.,FAKE
"BREAKING: a popular film actor secretly controls the world's banks, insider reveals.",FAKE
The local team won the football match after a closely fought contest in Paris.,REAL
"Australia's economy grew by 2 percent last quarter, according to official data.",REAL
Germany will host an international conference on renewable energy next year.,REAL
the Ministry of Education announced a new policy to improve public services in Toronto.,REAL
a large retail chain announced plans to open a new manufacturing plant near Toronto.,REAL
"the United Kingdom's economy grew by 10 percent last quarter, according to official data.",REAL
Germany signed a trade agreement aimed at boosting exports this year.,REAL
A report by MIT researchers highlights steady progress in reducing the common cold cases.,REAL
"Secret society in Paris is controlling world governments, anonymous source claims.",FAKE
the United States signed a trade agreement aimed at boosting exports this year.,REAL
Drinking ordinary tea leaves every morning will make you live to 86 years old.,FAKE
Officials confirmed that the bridge project in Tokyo is on schedule for completion next year.,REAL
a national airline announced plans to open a new manufacturing plant near Delhi.,REAL
Scientists at the University of Toronto are studying the effects of climate change on rainfall patterns.,REAL
a regional bank announced plans to open a new manufacturing plant near Cape Town.,REAL
Shocking video proves the moon landing in Canada was completely fake.,FAKE
Drinking ordinary tea leaves every morning will make you live to 51 years old.,FAKE
Shocking video proves the moon landing in Germany was completely fake.,FAKE
"Miracle tap water discovered to reverse aging completely, must share before it's banned!",FAKE
Researchers at University of Cambridge published a study on back pain treatment in The Lancet.,REAL
Berlin residents report seeing ghosts controlling the traffic lights at night.,FAKE
Drinking a common kitchen spice every morning will make you live to 149 years old.,FAKE
"tap water can completely cure hair loss in just three days, scientists are stunned.",FAKE
Researchers at Harvard University published a study on hair loss treatment in the Journal of Applied Physics.,REAL
"coconut oil can completely cure high blood pressure in just three days, scientists are stunned.",FAKE
the state government published its annual report on education outcomes across the country.,REAL
Officials confirmed that the bridge project in Paris is on schedule for completion next year.,REAL
"the United States's economy grew by 17 percent last quarter, according to official data.",REAL
"tap water can completely cure arthritis in just three days, scientists are stunned.",FAKE
Officials confirmed that the bridge project in Berlin is on schedule for completion next year.,REAL
The transport department in Berlin introduced new bus routes to ease congestion.,REAL
"A grandmother's forgotten coconut oil remedy is curing arthritis overnight, doctors baffled.",FAKE
Drinking a household plant every morning will make you live to 30 years old.,FAKE
Secret documents reveal Germany government is hiding evidence of time travel.,FAKE
a leading tech firm announced plans to open a new manufacturing plant near Berlin.,REAL
a prominent politician reveals they are actually an alien sent to observe India.,FAKE
"Japan's economy grew by 19 percent last quarter, according to official data.",REAL
You won't believe what a prominent politician did that doctors are trying to cover up.,FAKE
Officials in Australia confirm bottled water is being replaced with mind control serum.,FAKE
Researchers at University of Cambridge published a study on diabetes treatment in Nature.,REAL
Doctors don't want you to know this one trick that cures high blood pressure overnight!,FAKE
A peer-reviewed clinical trial confirmed a new treatment for insomnia is safe and effective.,REAL
Scientists at University of Tokyo are studying the effects of climate change on rainfall patterns.,REAL
Health officials in Sydney recommended flu vaccinations ahead of the winter season.,REAL
Researchers at University of Tokyo published a study on obesity treatment in the British Medical Journal.,REAL
"France's economy grew by 14 percent last quarter, according to official data.",REAL
the state government confirmed that road repair work will begin in Sao Paulo next month.,REAL
"A grandmother's forgotten tap water remedy is curing the common cold overnight, doctors baffled.",FAKE
This banned a household plant remedy cures hair loss that doctors refuse to prescribe.,FAKE
Scientists confirm diabetes can be cured instantly by staring at the sun for 5 minutes.,FAKE
Engineers at IIT Delhi unveiled a prototype for more efficient solar panels.,REAL
"Unemployment in Australia fell slightly last month, labour ministry data shows.",REAL
"A grandmother's forgotten tap water remedy is curing back pain overnight, doctors baffled.",FAKE
Drinking a common kitchen spice every morning will make you live to 170 years old.,FAKE
Researchers at the University of Toronto published a study on diabetes treatment in Cell.,REAL
the state government announced a new policy to improve public services in New York.,REAL
Share this before it gets deleted: lemon juice instantly detoxifies your entire body!,FAKE
This banned ordinary tea leaves remedy cures insomnia that doctors refuse to prescribe.,FAKE
Drinking ordinary tea leaves every morning will make you live to 128 years old.,FAKE
the state government released updated guidelines for the common cold prevention this week.,REAL
Kenya signed a trade agreement aimed at boosting exports this year.,REAL
Drinking a fruit peel every morning will make you live to 107 years old.,FAKE
The central bank of South Africa kept interest rates unchanged this quarter.,REAL
Scientists confirm the common cold can be cured instantly by staring at the sun for 5 minutes.,FAKE
a regional bank recalled a batch of products after a minor safety issue was identified.,REAL
Health officials in Toronto recommended flu vaccinations ahead of the winter season.,REAL
Doctors don't want you to know this one trick that cures arthritis overnight!,FAKE
a well-known electronics company announced plans to open a new manufacturing plant near Cape Town.,REAL
You won't believe what a famous cricketer did that doctors are trying to cover up.,FAKE
Local authorities in Tokyo opened a new public park after months of construction.,REAL
Scientists confirm obesity can be cured instantly by staring at the sun for 5 minutes.,FAKE
Drinking baking soda every morning will make you live to 65 years old.,FAKE
Officials confirmed that the bridge project in Cape Town is on schedule for completion next year.,REAL
a popular film actor reveals they are actually an alien sent to observe Japan.,FAKE
Drinking ordinary tea leaves every morning will make you live to 16 years old.,FAKE
"This one weird trick cures back pain permanently, big pharma hates it!",FAKE
a major automobile manufacturer recalled a batch of products after a minor safety issue was identified.,REAL
Drinking a household plant every morning will make you live to 93 years old.,FAKE
The central bank of Kenya kept interest rates unchanged this quarter.,REAL
"Government hiding cure for acne to keep hospitals in business, whistleblower claims.",FAKE
The local team won the basketball match after a closely fought contest in London.,REAL
"Miracle a fruit peel discovered to reverse aging completely, must share before it's banned!",FAKE
"Miracle baking soda discovered to reverse aging completely, must share before it's banned!",FAKE
This banned baking soda remedy cures obesity that doctors refuse to prescribe.,FAKE
"Secret society in London is controlling world governments, anonymous source claims.",FAKE
Aliens were spotted landing near Mumbai and the government is hiding the truth.,FAKE
"Unemployment in Brazil fell slightly last month, labour ministry data shows.",REAL
Drinking coconut oil every morning will make you live to 177 years old.,FAKE
a well-known singer reveals they are actually an alien sent to observe Germany.,FAKE
A report by MIT researchers highlights steady progress in reducing obesity cases.,REAL
Health officials in Berlin recommended flu vaccinations ahead of the winter season.,REAL
"A grandmother's forgotten baking soda remedy is curing high blood pressure overnight, doctors baffled.",FAKE
"This one weird trick cures high blood pressure permanently, big pharma hates it!",FAKE
Election officials in Australia confirmed voter turnout figures for the recent polls.,REAL
This banned coconut oil remedy cures obesity that doctors refuse to prescribe.,FAKE
the Department of Transport released updated guidelines for arthritis prevention this week.,REAL
"baking soda can completely cure hair loss in just three days, scientists are stunned.",FAKE
"Miracle ordinary tea leaves discovered to reverse aging completely, must share before it's banned!",FAKE
Researchers at MIT published a study on arthritis treatment in Science.,REAL
The city council in Delhi approved funding for a new public library.,REAL
